"year","zone","timePeriod","gender","count"
"2004","S01001861","Calendar Year","All",10
"2004","S01001856","Between Mid Points Of Years","All",7
"2004","S01001855","Between Mid Points Of Years","All",10
"2004","S01001854","Between Mid Points Of Years","All",21
"2011","S01001854","Calendar Year","All",24
"2004","S01001853","Between Mid Points Of Years","All",8
"2013","S01001865","Calendar Year","All",13
"2004","S01001852","Between Mid Points Of Years","All",3
"2004","S01001851","Between Mid Points Of Years","All",16
"2004","S01001850","Between Mid Points Of Years","All",5
"2005","S01001869","Between Mid Points Of Years","All",4
"2005","S01001868","Between Mid Points Of Years","All",4
"2005","S01001867","Between Mid Points Of Years","All",14
"2013","S01001866","Calendar Year","All",7
"2005","S01001866","Between Mid Points Of Years","All",4
"2008","S01001863","Calendar Year","All",10
"2005","S01001865","Between Mid Points Of Years","All",8
"2005","S01001864","Between Mid Points Of Years","All",32
"2010","S01001850","Calendar Year","All",9
"2005","S01001863","Between Mid Points Of Years","All",6
"2005","S01001862","Between Mid Points Of Years","All",5
"2005","S01001861","Between Mid Points Of Years","All",3
"2004","S01001864","Calendar Year","All",31
"2005","S01001860","Between Mid Points Of Years","All",9
"2007","S01001850","Calendar Year","All",10
"2005","S01001859","Between Mid Points Of Years","All",16
"2005","S01001858","Between Mid Points Of Years","All",7
"2013","S01001859","Calendar Year","All",14
"2005","S01001857","Between Mid Points Of Years","All",4
"2006","S01001863","Calendar Year","All",10
"2005","S01001856","Between Mid Points Of Years","All",7
"2005","S01001855","Between Mid Points Of Years","All",10
"2008","S01001864","Calendar Year","All",28
"2005","S01001854","Between Mid Points Of Years","All",19
"2011","S01001853","Calendar Year","All",5
"2005","S01001850","Between Mid Points Of Years","All",12
"2005","S01001851","Between Mid Points Of Years","All",17
"2013","S01001858","Calendar Year","All",7
"2005","S01001852","Between Mid Points Of Years","All",8
"2005","S01001853","Between Mid Points Of Years","All",5
"2006","S01001869","Between Mid Points Of Years","All",9
"2006","S01001868","Between Mid Points Of Years","All",7
"2006","S01001867","Between Mid Points Of Years","All",12
"2006","S01001866","Between Mid Points Of Years","All",6
"2013","S01001857","Calendar Year","All",11
"2006","S01001865","Between Mid Points Of Years","All",20
"2004","S01001858","Calendar Year","All",7
"2006","S01001864","Between Mid Points Of Years","All",25
"2006","S01001863","Between Mid Points Of Years","All",5
"2008","S01001865","Calendar Year","All",15
"2006","S01001862","Between Mid Points Of Years","All",11
"2011","S01001864","Calendar Year","All",31
"2006","S01001861","Between Mid Points Of Years","All",5
"2006","S01001860","Between Mid Points Of Years","All",12
"2013","S01001856","Calendar Year","All",9
"2006","S01001859","Between Mid Points Of Years","All",10
"2011","S01001852","Calendar Year","All",1
"2006","S01001858","Between Mid Points Of Years","All",9
"2006","S01001857","Between Mid Points Of Years","All",7
"2005","S01001866","Calendar Year","All",10
"2006","S01001856","Between Mid Points Of Years","All",5
"2006","S01001855","Between Mid Points Of Years","All",17
"2006","S01001854","Between Mid Points Of Years","All",14
"2013","S01001855","Calendar Year","All",6
"2006","S01001853","Between Mid Points Of Years","All",9
"2006","S01001862","Calendar Year","All",10
"2006","S01001852","Between Mid Points Of Years","All",7
"2006","S01001851","Between Mid Points Of Years","All",13
"2008","S01001866","Calendar Year","All",5
"2006","S01001850","Between Mid Points Of Years","All",9
"2007","S01001854","Between Mid Points Of Years","All",19
"2005","S01001852","Calendar Year","All",8
"2007","S01001855","Between Mid Points Of Years","All",8
"2013","S01001854","Calendar Year","All",12
"2007","S01001856","Between Mid Points Of Years","All",8
"2007","S01001857","Between Mid Points Of Years","All",11
"2007","S01001858","Between Mid Points Of Years","All",11
"2007","S01001859","Between Mid Points Of Years","All",11
"2007","S01001851","Calendar Year","All",11
"2007","S01001860","Between Mid Points Of Years","All",6
"2013","S01001850","Calendar Year","All",9
"2007","S01001861","Between Mid Points Of Years","All",10
"2007","S01001862","Between Mid Points Of Years","All",4
"2011","S01001851","Calendar Year","All",8
"2007","S01001863","Between Mid Points Of Years","All",15
"2007","S01001864","Between Mid Points Of Years","All",34
"2007","S01001865","Between Mid Points Of Years","All",10
"2008","S01001867","Calendar Year","All",11
"2007","S01001866","Between Mid Points Of Years","All",10
"2013","S01001851","Calendar Year","All",8
"2007","S01001867","Between Mid Points Of Years","All",16
"2004","S01001865","Calendar Year","All",10
"2007","S01001868","Between Mid Points Of Years","All",4
"2007","S01001869","Between Mid Points Of Years","All",8
"2007","S01001850","Between Mid Points Of Years","All",8
"2007","S01001851","Between Mid Points Of Years","All",11
"2007","S01001852","Between Mid Points Of Years","All",3
"2013","S01001852","Calendar Year","All",1
"2007","S01001853","Between Mid Points Of Years","All",11
"2014","S01001869","Between Mid Points Of Years","Male",4
"2013","S01001858","Calendar Year","Male",2
"2014","S01001859","Between Mid Points Of Years","Male",7
"2014","S01001868","Between Mid Points Of Years","Male",4
"2009","S01001853","Calendar Year","Male",0
"2011","S01001855","Calendar Year","Male",5
"2014","S01001867","Between Mid Points Of Years","Male",5
"2007","S01001867","Between Mid Points Of Years","Male",10
"2014","S01001858","Between Mid Points Of Years","Male",3
"2014","S01001866","Between Mid Points Of Years","Male",6
"2005","S01001854","Between Mid Points Of Years","Male",9
"2007","S01001852","Between Mid Points Of Years","Male",1
"2014","S01001865","Between Mid Points Of Years","Male",8
"2002","S01001863","Calendar Year","Male",3
"2014","S01001857","Between Mid Points Of Years","Male",4
"2014","S01001864","Between Mid Points Of Years","Male",14
"2006","S01001851","Between Mid Points Of Years","Male",8
"2005","S01001853","Between Mid Points Of Years","Male",2
"2014","S01001863","Between Mid Points Of Years","Male",8
"2014","S01001856","Between Mid Points Of Years","Male",3
"2004","S01001855","Calendar Year","Male",8
"2008","S01001867","Calendar Year","Male",4
"2008","S01001850","Between Mid Points Of Years","Male",2
"2013","S01001867","Calendar Year","Male",7
"2013","S01001854","Calendar Year","Male",4
"2008","S01001851","Between Mid Points Of Years","Male",11
"2002","S01001862","Calendar Year","Male",3
"2014","S01001855","Between Mid Points Of Years","Male",4
"2008","S01001852","Between Mid Points Of Years","Male",2
"2012","S01001856","Calendar Year","Male",4
"2013","S01001852","Calendar Year","Male",1
"2008","S01001853","Between Mid Points Of Years","Male",2
"2009","S01001852","Calendar Year","Male",2
"2006","S01001864","Calendar Year","Male",12
"2008","S01001854","Between Mid Points Of Years","Male",14
"2007","S01001862","Between Mid Points Of Years","Male",1
"2002","S01001861","Calendar Year","Male",5
"2008","S01001855","Between Mid Points Of Years","Male",2
"2014","S01001854","Between Mid Points Of Years","Male",8
"2005","S01001851","Calendar Year","Male",7
"2008","S01001856","Between Mid Points Of Years","Male",4
"2006","S01001852","Calendar Year","Male",1
"2005","S01001850","Between Mid Points Of Years","Male",4
"2008","S01001857","Between Mid Points Of Years","Male",2
"2014","S01001853","Between Mid Points Of Years","Male",6
"2002","S01001860","Calendar Year","Male",2
"2008","S01001858","Between Mid Points Of Years","Male",2
"2004","S01001862","Calendar Year","Male",0
"2007","S01001851","Calendar Year","Male",8
"2008","S01001859","Between Mid Points Of Years","Male",5
"2007","S01001866","Calendar Year","Male",4
"2006","S01001860","Calendar Year","Male",5
"2008","S01001860","Between Mid Points Of Years","Male",2
"2009","S01001851","Calendar Year","Male",5
"2013","S01001860","Calendar Year","Male",4
"2008","S01001861","Between Mid Points Of Years","Male",6
"2008","S01001860","Calendar Year","Male",3
"2008","S01001868","Calendar Year","Male",1
"2008","S01001862","Between Mid Points Of Years","Male",6
"2008","S01001853","Calendar Year","Male",1
"2002","S01001859","Calendar Year","Male",4
"2008","S01001863","Between Mid Points Of Years","Male",7
"2012","S01001857","Calendar Year","Male",7
"2004","S01001863","Calendar Year","Male",1
"2008","S01001864","Between Mid Points Of Years","Male",15
"2006","S01001850","Between Mid Points Of Years","Male",4
"2011","S01001869","Calendar Year","Male",6
"2008","S01001865","Between Mid Points Of Years","Male",9
"2014","S01001852","Between Mid Points Of Years","Male",2
"2011","S01001850","Calendar Year","Male",5
"2008","S01001866","Between Mid Points Of Years","Male",3
"2005","S01001851","Between Mid Points Of Years","Male",7
"2013","S01001861","Calendar Year","Male",6
"2008","S01001867","Between Mid Points Of Years","Male",4
"2002","S01001858","Calendar Year","Male",3
"2014","S01001851","Between Mid Points Of Years","Male",5
"2008","S01001868","Between Mid Points Of Years","Male",3
"2005","S01001865","Calendar Year","Male",5
"2009","S01001850","Calendar Year","Male",6
"2008","S01001869","Between Mid Points Of Years","Male",1
"2011","S01001852","Calendar Year","Male",1
"2014","S01001850","Between Mid Points Of Years","Male",6
"2009","S01001865","Between Mid Points Of Years","Male",3
"2002","S01001857","Calendar Year","Male",3
"2011","S01001859","Calendar Year","Male",3
"2009","S01001864","Between Mid Points Of Years","Male",12
"2013","S01001868","Calendar Year","Male",4
"2006","S01001851","Calendar Year","Male",8
"2009","S01001863","Between Mid Points Of Years","Male",9
"2013","S01001862","Calendar Year","Male",1
"2005","S01001852","Between Mid Points Of Years","Male",3
"2009","S01001862","Between Mid Points Of Years","Male",1
"2008","S01001869","Calendar Year","Male",3
"2004","S01001869","Between Mid Points Of Years","Male",4
"2009","S01001861","Between Mid Points Of Years","Male",5
"2002","S01001856","Calendar Year","Male",4
"2005","S01001860","Calendar Year","Male",1
"2009","S01001860","Between Mid Points Of Years","Male",9
"2012","S01001858","Calendar Year","Male",4
"2009","S01001869","Calendar Year","Male",3
"2009","S01001859","Between Mid Points Of Years","Male",10
"2003","S01001866","Calendar Year","Male",3
"2011","S01001851","Calendar Year","Male",4
"2009","S01001858","Between Mid Points Of Years","Male",2
"2006","S01001869","Between Mid Points Of Years","Male",7
"2002","S01001855","Calendar Year","Male",6
"2009","S01001857","Between Mid Points Of Years","Male",4
"2004","S01001868","Between Mid Points Of Years","Male",0
"2006","S01001867","Calendar Year","Male",5
"2009","S01001856","Between Mid Points Of Years","Male",4
"2005","S01001852","Calendar Year","Male",3
"2013","S01001857","Calendar Year","Male",7
"2009","S01001855","Between Mid Points Of Years","Male",2
"2011","S01001868","Calendar Year","Male",3
"2007","S01001853","Between Mid Points Of Years","Male",9
"2009","S01001854","Between Mid Points Of Years","Male",8
"2006","S01001859","Calendar Year","Male",4
"2004","S01001867","Between Mid Points Of Years","Male",4
"2009","S01001853","Between Mid Points Of Years","Male",1
"2003","S01001867","Calendar Year","Male",4
"2002","S01001854","Calendar Year","Male",13
"2009","S01001852","Between Mid Points Of Years","Male",1
"2006","S01001868","Between Mid Points Of Years","Male",4
"2006","S01001862","Calendar Year","Male",5
"2009","S01001851","Between Mid Points Of Years","Male",3
"2009","S01001868","Calendar Year","Male",2
"2004","S01001866","Between Mid Points Of Years","Male",3
"2009","S01001850","Between Mid Points Of Years","Male",2
"2005","S01001864","Calendar Year","Male",11
"2008","S01001854","Calendar Year","Male",13
"2009","S01001869","Between Mid Points Of Years","Male",6
"2002","S01001853","Calendar Year","Male",3
"2012","S01001859","Calendar Year","Male",5
"2009","S01001868","Between Mid Points Of Years","Male",2
"2009","S01001865","Calendar Year","Male",4
"2005","S01001868","Calendar Year","Male",2
"2009","S01001867","Between Mid Points Of Years","Male",6
"2003","S01001868","Calendar Year","Male",2
"2006","S01001850","Calendar Year","Male",6
"2009","S01001866","Between Mid Points Of Years","Male",1
"2011","S01001862","Calendar Year","Male",4
"2010","S01001853","Between Mid Points Of Years","Male",0
"2007","S01001863","Between Mid Points Of Years","Male",9
"2006","S01001867","Between Mid Points Of Years","Male",3
"2010","S01001854","Between Mid Points Of Years","Male",13
"2002","S01001852","Calendar Year","Male",2
"2004","S01001865","Between Mid Points Of Years","Male",7
"2010","S01001855","Between Mid Points Of Years","Male",6
"2011","S01001854","Calendar Year","Male",14
"2009","S01001867","Calendar Year","Male",5
"2010","S01001856","Between Mid Points Of Years","Male",6
"2005","S01001855","Calendar Year","Male",5
"2004","S01001866","Calendar Year","Male",2
"2010","S01001857","Between Mid Points Of Years","Male",2
"2004","S01001864","Between Mid Points Of Years","Male",10
"2003","S01001869","Calendar Year","Male",3
"2010","S01001858","Between Mid Points Of Years","Male",0
"2002","S01001851","Calendar Year","Male",3
"2013","S01001869","Calendar Year","Male",5
"2010","S01001859","Between Mid Points Of Years","Male",5
"2004","S01001860","Calendar Year","Male",7
"2007","S01001868","Between Mid Points Of Years","Male",2
"2010","S01001860","Between Mid Points Of Years","Male",0
"2004","S01001863","Between Mid Points Of Years","Male",1
"2006","S01001866","Between Mid Points Of Years","Male",2
"2010","S01001861","Between Mid Points Of Years","Male",8
"2002","S01001850","Calendar Year","Male",4
"2007","S01001852","Calendar Year","Male",3
"2010","S01001862","Between Mid Points Of Years","Male",4
"2008","S01001864","Calendar Year","Male",11
"2009","S01001864","Calendar Year","Male",16
"2010","S01001863","Between Mid Points Of Years","Male",5
"2012","S01001860","Calendar Year","Male",7
"2003","S01001850","Calendar Year","Male",5
"2010","S01001864","Between Mid Points Of Years","Male",16
"2009","S01001866","Calendar Year","Male",0
"2011","S01001867","Calendar Year","Male",6
"2010","S01001865","Between Mid Points Of Years","Male",3
"2004","S01001862","Between Mid Points Of Years","Male",3
"2007","S01001854","Between Mid Points Of Years","Male",10
"2010","S01001866","Between Mid Points Of Years","Male",3
"2011","S01001858","Calendar Year","Male",5
"2006","S01001865","Between Mid Points Of Years","Male",6
"2010","S01001867","Between Mid Points Of Years","Male",4
"2001","S01001858","Calendar Year","Male",8
"2007","S01001862","Calendar Year","Male",5
"2010","S01001868","Between Mid Points Of Years","Male",5
"2004","S01001869","Calendar Year","Male",2
"2006","S01001858","Calendar Year","Male",4
"2010","S01001869","Between Mid Points Of Years","Male",3
"2004","S01001861","Between Mid Points Of Years","Male",8
"2003","S01001851","Calendar Year","Male",8
"2010","S01001850","Between Mid Points Of Years","Male",7
"2008","S01001861","Calendar Year","Male",3
"2010","S01001853","Calendar Year","Male",1
"2010","S01001851","Between Mid Points Of Years","Male",5
"2001","S01001859","Calendar Year","Male",3
"2008","S01001855","Calendar Year","Male",2
"2010","S01001852","Between Mid Points Of Years","Male",1
"2013","S01001850","Calendar Year","Male",3
"2012","S01001861","Calendar Year","Male",5
"2004","S01001860","Between Mid Points Of Years","Male",7
"2011","S01001865","Between Mid Points Of Years","Male",5
"2001","S01001860","Calendar Year","Male",3
"2007","S01001853","Calendar Year","Male",10
"2011","S01001864","Between Mid Points Of Years","Male",9
"2009","S01001863","Calendar Year","Male",8
"2013","S01001863","Calendar Year","Male",5
"2011","S01001863","Between Mid Points Of Years","Male",7
"2003","S01001852","Calendar Year","Male",4
"2007","S01001864","Between Mid Points Of Years","Male",17
"2011","S01001862","Between Mid Points Of Years","Male",4
"2004","S01001859","Between Mid Points Of Years","Male",2
"2001","S01001861","Calendar Year","Male",7
"2011","S01001861","Between Mid Points Of Years","Male",3
"2005","S01001859","Calendar Year","Male",8
"2006","S01001864","Between Mid Points Of Years","Male",11
"2011","S01001860","Between Mid Points Of Years","Male",10
"2007","S01001855","Between Mid Points Of Years","Male",4
"2010","S01001854","Calendar Year","Male",12
"2011","S01001859","Between Mid Points Of Years","Male",4
"2011","S01001866","Calendar Year","Male",2
"2001","S01001862","Calendar Year","Male",5
"2011","S01001858","Between Mid Points Of Years","Male",5
"2004","S01001858","Between Mid Points Of Years","Male",8
"2004","S01001857","Calendar Year","Male",2
"2011","S01001857","Between Mid Points Of Years","Male",2
"2003","S01001853","Calendar Year","Male",2
"2004","S01001852","Calendar Year","Male",3
"2011","S01001856","Between Mid Points Of Years","Male",7
"2006","S01001863","Between Mid Points Of Years","Male",2
"2001","S01001863","Calendar Year","Male",5
"2011","S01001855","Between Mid Points Of Years","Male",4
"2004","S01001854","Calendar Year","Male",9
"2004","S01001857","Between Mid Points Of Years","Male",3
"2011","S01001854","Between Mid Points Of Years","Male",13
"2013","S01001856","Calendar Year","Male",5
"2012","S01001862","Calendar Year","Male",1
"2011","S01001853","Between Mid Points Of Years","Male",4
"2001","S01001864","Calendar Year","Male",7
"2007","S01001864","Calendar Year","Male",16
"2011","S01001852","Between Mid Points Of Years","Male",2
"2009","S01001862","Calendar Year","Male",4
"2004","S01001856","Between Mid Points Of Years","Male",1
"2011","S01001851","Between Mid Points Of Years","Male",4
"2003","S01001854","Calendar Year","Male",11
"2006","S01001862","Between Mid Points Of Years","Male",6
"2011","S01001850","Between Mid Points Of Years","Male",5
"2010","S01001855","Calendar Year","Male",4
"2001","S01001865","Calendar Year","Male",11
"2011","S01001869","Between Mid Points Of Years","Male",9
"2006","S01001866","Calendar Year","Male",3
"2007","S01001856","Between Mid Points Of Years","Male",4
"2011","S01001868","Between Mid Points Of Years","Male",5
"2010","S01001850","Calendar Year","Male",3
"2007","S01001867","Calendar Year","Male",8
"2011","S01001867","Between Mid Points Of Years","Male",6
"2004","S01001867","Calendar Year","Male",5
"2004","S01001855","Between Mid Points Of Years","Male",6
"2011","S01001866","Between Mid Points Of Years","Male",2
"2001","S01001866","Calendar Year","Male",4
"2006","S01001857","Calendar Year","Male",0
"2012","S01001850","Between Mid Points Of Years","Male",5
"2007","S01001854","Calendar Year","Male",11
"2003","S01001855","Calendar Year","Male",6
"2012","S01001851","Between Mid Points Of Years","Male",4
"2011","S01001864","Calendar Year","Male",13
"2008","S01001856","Calendar Year","Male",4
"2012","S01001852","Between Mid Points Of Years","Male",2
"2012","S01001863","Calendar Year","Male",4
"2001","S01001867","Calendar Year","Male",0
"2012","S01001853","Between Mid Points Of Years","Male",1
"2011","S01001863","Calendar Year","Male",5
"2005","S01001863","Calendar Year","Male",5
"2012","S01001854","Between Mid Points Of Years","Male",8
"2004","S01001854","Between Mid Points Of Years","Male",9
"2012","S01001850","Calendar Year","Male",9
"2012","S01001855","Between Mid Points Of Years","Male",5
"2013","S01001864","Calendar Year","Male",13
"2009","S01001861","Calendar Year","Male",7
"2012","S01001856","Between Mid Points Of Years","Male",2
"2010","S01001856","Calendar Year","Male",9
"2003","S01001856","Calendar Year","Male",4
"2012","S01001857","Between Mid Points Of Years","Male",9
"2001","S01001868","Calendar Year","Male",3
"2006","S01001861","Between Mid Points Of Years","Male",3
"2012","S01001858","Between Mid Points Of Years","Male",2
"2004","S01001853","Between Mid Points Of Years","Male",6
"2013","S01001853","Calendar Year","Male",6
"2012","S01001859","Between Mid Points Of Years","Male",5
"2007","S01001857","Between Mid Points Of Years","Male",3
"2001","S01001869","Calendar Year","Male",2
"2012","S01001860","Between Mid Points Of Years","Male",6
"2004","S01001852","Between Mid Points Of Years","Male",3
"2006","S01001869","Calendar Year","Male",7
"2012","S01001861","Between Mid Points Of Years","Male",6
"2006","S01001860","Between Mid Points Of Years","Male",3
"2004","S01001856","Calendar Year","Male",2
"2012","S01001862","Between Mid Points Of Years","Male",4
"2004","S01001850","Calendar Year","Male",4
"2003","S01001857","Calendar Year","Male",5
"2012","S01001863","Between Mid Points Of Years","Male",3
"2011","S01001857","Calendar Year","Male",5
"2001","S01001850","Calendar Year","Male",3
"2012","S01001864","Between Mid Points Of Years","Male",11
"2007","S01001863","Calendar Year","Male",8
"2004","S01001851","Between Mid Points Of Years","Male",4
"2012","S01001865","Between Mid Points Of Years","Male",5
"2012","S01001864","Calendar Year","Male",11
"2010","S01001857","Calendar Year","Male",3
"2012","S01001866","Between Mid Points Of Years","Male",3
"2001","S01001851","Calendar Year","Male",6
"2007","S01001865","Calendar Year","Male",5
"2012","S01001867","Between Mid Points Of Years","Male",4
"2011","S01001865","Calendar Year","Male",6
"2009","S01001860","Calendar Year","Male",7
"2012","S01001868","Between Mid Points Of Years","Male",1
"2006","S01001863","Calendar Year","Male",4
"2003","S01001858","Calendar Year","Male",6
"2012","S01001869","Between Mid Points Of Years","Male",2
"2013","S01001866","Between Mid Points Of Years","Male",4
"2007","S01001865","Between Mid Points Of Years","Male",7
"2008","S01001850","Calendar Year","Male",2
"2013","S01001867","Between Mid Points Of Years","Male",8
"2004","S01001850","Between Mid Points Of Years","Male",4
"2001","S01001852","Calendar Year","Male",2
"2013","S01001868","Between Mid Points Of Years","Male",5
"2007","S01001855","Calendar Year","Male",4
"2012","S01001851","Calendar Year","Male",4
"2013","S01001869","Between Mid Points Of Years","Male",5
"2005","S01001869","Calendar Year","Male",6
"2013","S01001863","Between Mid Points Of Years","Male",6
"2007","S01001869","Calendar Year","Male",5
"2006","S01001856","Calendar Year","Male",3
"2013","S01001864","Between Mid Points Of Years","Male",17
"2006","S01001859","Between Mid Points Of Years","Male",6
"2003","S01001859","Calendar Year","Male",4
"2013","S01001865","Between Mid Points Of Years","Male",3
"2005","S01001869","Between Mid Points Of Years","Male",2
"2001","S01001853","Calendar Year","Male",0
"2013","S01001859","Between Mid Points Of Years","Male",7
"2005","S01001858","Calendar Year","Male",5
"2008","S01001862","Calendar Year","Male",1
"2013","S01001858","Between Mid Points Of Years","Male",4
"2008","S01001857","Calendar Year","Male",2
"2010","S01001858","Calendar Year","Male",1
"2013","S01001857","Between Mid Points Of Years","Male",6
"2001","S01001854","Calendar Year","Male",4
"2006","S01001861","Calendar Year","Male",5
"2013","S01001856","Between Mid Points Of Years","Male",7
"2009","S01001859","Calendar Year","Male",5
"2005","S01001868","Between Mid Points Of Years","Male",3
"2013","S01001855","Between Mid Points Of Years","Male",4
"2003","S01001860","Calendar Year","Male",7
"2012","S01001865","Calendar Year","Male",5
"2013","S01001854","Between Mid Points Of Years","Male",3
"2013","S01001865","Calendar Year","Male",5
"2001","S01001855","Calendar Year","Male",8
"2013","S01001853","Between Mid Points Of Years","Male",3
"2007","S01001858","Between Mid Points Of Years","Male",3
"2005","S01001867","Between Mid Points Of Years","Male",7
"2011","S01001861","Calendar Year","Male",7
"2013","S01001850","Between Mid Points Of Years","Male",6
"2005","S01001866","Calendar Year","Male",5
"2005","S01001853","Calendar Year","Male",3
"2013","S01001851","Between Mid Points Of Years","Male",4
"2006","S01001858","Between Mid Points Of Years","Male",3
"2001","S01001856","Calendar Year","Male",4
"2013","S01001852","Between Mid Points Of Years","Male",2
"2005","S01001866","Between Mid Points Of Years","Male",3
"2007","S01001869","Between Mid Points Of Years","Male",8
"2003","S01001861","Calendar Year","Male",9
"2013","S01001860","Between Mid Points Of Years","Male",6
"2007","S01001851","Between Mid Points Of Years","Male",6
"2010","S01001859","Calendar Year","Male",6
"2013","S01001861","Between Mid Points Of Years","Male",5
"2001","S01001857","Calendar Year","Male",2
"2005","S01001850","Calendar Year","Male",2
"2013","S01001862","Between Mid Points Of Years","Male",1
"2005","S01001865","Between Mid Points Of Years","Male",4
"2003","S01001866","Between Mid Points Of Years","Male",5
"2007","S01001856","Calendar Year","Male",6
"2012","S01001866","Calendar Year","Male",4
"2003","S01001867","Between Mid Points Of Years","Male",3
"2006","S01001857","Between Mid Points Of Years","Male",1
"2012","S01001852","Calendar Year","Male",2
"2003","S01001868","Between Mid Points Of Years","Male",3
"2010","S01001860","Calendar Year","Male",2
"2009","S01001858","Calendar Year","Male",1
"2003","S01001869","Between Mid Points Of Years","Male",5
"2013","S01001855","Calendar Year","Male",2
"2003","S01001862","Calendar Year","Male",3
"2003","S01001850","Between Mid Points Of Years","Male",5
"2005","S01001864","Between Mid Points Of Years","Male",18
"2010","S01001852","Calendar Year","Male",2
"2003","S01001851","Between Mid Points Of Years","Male",7
"2011","S01001853","Calendar Year","Male",4
"2011","S01001856","Calendar Year","Male",4
"2003","S01001852","Between Mid Points Of Years","Male",3
"2007","S01001859","Between Mid Points Of Years","Male",5
"2010","S01001861","Calendar Year","Male",5
"2003","S01001853","Between Mid Points Of Years","Male",1
"2006","S01001865","Calendar Year","Male",9
"2004","S01001859","Calendar Year","Male",5
"2003","S01001854","Between Mid Points Of Years","Male",8
"2005","S01001863","Between Mid Points Of Years","Male",3
"2006","S01001855","Calendar Year","Male",4
"2003","S01001855","Between Mid Points Of Years","Male",8
"2007","S01001857","Calendar Year","Male",4
"2003","S01001863","Calendar Year","Male",2
"2003","S01001856","Between Mid Points Of Years","Male",6
"2005","S01001854","Calendar Year","Male",7
"2005","S01001857","Calendar Year","Male",2
"2003","S01001857","Between Mid Points Of Years","Male",3
"2010","S01001862","Calendar Year","Male",4
"2006","S01001856","Between Mid Points Of Years","Male",3
"2003","S01001858","Between Mid Points Of Years","Male",5
"2007","S01001866","Between Mid Points Of Years","Male",6
"2005","S01001862","Calendar Year","Male",4
"2003","S01001859","Between Mid Points Of Years","Male",5
"2004","S01001853","Calendar Year","Male",5
"2008","S01001858","Calendar Year","Male",1
"2003","S01001860","Between Mid Points Of Years","Male",4
"2012","S01001867","Calendar Year","Male",5
"2009","S01001857","Calendar Year","Male",3
"2003","S01001861","Between Mid Points Of Years","Male",9
"2010","S01001863","Calendar Year","Male",6
"2003","S01001864","Calendar Year","Male",10
"2003","S01001862","Between Mid Points Of Years","Male",3
"2005","S01001867","Calendar Year","Male",6
"2008","S01001851","Calendar Year","Male",8
"2003","S01001863","Between Mid Points Of Years","Male",3
"2005","S01001862","Between Mid Points Of Years","Male",2
"2007","S01001858","Calendar Year","Male",2
"2003","S01001864","Between Mid Points Of Years","Male",12
"2010","S01001851","Calendar Year","Male",3
"2012","S01001853","Calendar Year","Male",2
"2003","S01001865","Between Mid Points Of Years","Male",6
"2004","S01001861","Calendar Year","Male",5
"2010","S01001864","Calendar Year","Male",15
"2002","S01001869","Between Mid Points Of Years","Male",2
"2013","S01001851","Calendar Year","Male",4
"2005","S01001861","Between Mid Points Of Years","Male",0
"2002","S01001868","Between Mid Points Of Years","Male",2
"2003","S01001865","Calendar Year","Male",5
"2013","S01001859","Calendar Year","Male",8
"2002","S01001867","Between Mid Points Of Years","Male",1
"2006","S01001855","Between Mid Points Of Years","Male",7
"2007","S01001861","Calendar Year","Male",5
"2002","S01001866","Between Mid Points Of Years","Male",7
"2010","S01001865","Calendar Year","Male",2
"2004","S01001868","Calendar Year","Male",2
"2002","S01001865","Between Mid Points Of Years","Male",10
"2005","S01001860","Between Mid Points Of Years","Male",4
"2007","S01001859","Calendar Year","Male",8
"2002","S01001864","Between Mid Points Of Years","Male",11
"2012","S01001868","Calendar Year","Male",4
"2005","S01001856","Calendar Year","Male",3
"2002","S01001863","Between Mid Points Of Years","Male",4
"2009","S01001856","Calendar Year","Male",2
"2010","S01001866","Calendar Year","Male",4
"2002","S01001862","Between Mid Points Of Years","Male",4
"2007","S01001850","Calendar Year","Male",4
"2007","S01001860","Between Mid Points Of Years","Male",2
"2002","S01001861","Between Mid Points Of Years","Male",8
"2002","S01001869","Calendar Year","Male",6
"2004","S01001865","Calendar Year","Male",5
"2002","S01001860","Between Mid Points Of Years","Male",2
"2005","S01001859","Between Mid Points Of Years","Male",9
"2006","S01001854","Between Mid Points Of Years","Male",8
"2002","S01001859","Between Mid Points Of Years","Male",4
"2004","S01001851","Calendar Year","Male",6
"2010","S01001867","Calendar Year","Male",5
"2002","S01001858","Between Mid Points Of Years","Male",2
"2006","S01001854","Calendar Year","Male",9
"2004","S01001858","Calendar Year","Male",4
"2002","S01001857","Between Mid Points Of Years","Male",5
"2008","S01001865","Calendar Year","Male",6
"2007","S01001860","Calendar Year","Male",1
"2002","S01001856","Between Mid Points Of Years","Male",2
"2007","S01001868","Calendar Year","Male",2
"2005","S01001858","Between Mid Points Of Years","Male",3
"2002","S01001855","Between Mid Points Of Years","Male",3
"2002","S01001868","Calendar Year","Male",1
"2010","S01001868","Calendar Year","Male",7
"2002","S01001854","Between Mid Points Of Years","Male",15
"2008","S01001863","Calendar Year","Male",8
"2007","S01001850","Between Mid Points Of Years","Male",6
"2002","S01001853","Between Mid Points Of Years","Male",2
"2012","S01001854","Calendar Year","Male",4
"2005","S01001857","Between Mid Points Of Years","Male",2
"2002","S01001852","Between Mid Points Of Years","Male",4
"2009","S01001855","Calendar Year","Male",4
"2008","S01001859","Calendar Year","Male",8
"2002","S01001851","Between Mid Points Of Years","Male",5
